symbol,entry_price,entry_time,exit_price,exit_time,quantity,position_size,pnl_value,pnl_percent,hold_days,exit_reason,partial
DOGEUSDT,0.06959,2023-07-01 00:00:00,0.06511,2023-07-08 00:00:00,5747.952291995976,400.0,-25.75082626814196,-6.437706567035491,7,"STOP_LOSS (Day 7, -3%)",False
SOLUSDT,18.71,2023-07-05 08:00:00,22.13,2023-07-12 08:00:00,5.344735435595938,100.0,18.278995189738097,18.278995189738097,7,"TP1 (Day 7, +15%)",True
SOLUSDT,18.71,2023-07-05 08:00:00,26.2,2023-07-13 16:00:00,5.344735435595938,100.0,40.03206841261357,40.03206841261356,8,"TP2 (Day 8, +30%)",False
SHIBUSDT,8.45e-06,2023-07-13 16:00:00,1.025e-05,2023-07-20 16:00:00,23668639.053254437,200.0,42.60355029585798,21.30177514792899,7,"TP1 (Day 7, +15%)",True
SHIBUSDT,8.45e-06,2023-07-13 16:00:00,9.59e-06,2023-07-22 08:00:00,23668639.053254437,200.0,26.98224852071004,13.49112426035502,8,"TRAILING_STOP (Day 8, -5% from high)",False
SHIBUSDT,1.043e-05,2023-08-02 00:00:00,9.72e-06,2023-08-14 16:00:00,38350910.834132314,400.0,-27.229146692233943,-6.807286673058485,12,"STOP_LOSS (Day 12, -3%)",False
SOLUSDT,23.73,2023-08-08 12:00:00,22.82,2023-08-16 20:00:00,8.428150021070374,200.0,-7.669616519174042,-3.8348082595870214,8,"STOP_LOSS (Day 8, -3%)",False
SOLUSDT,20.2,2023-09-29 00:00:00,23.34,2023-10-06 04:00:00,4.9504950495049505,100.0,15.544554455445548,15.544554455445548,7,"TP1 (Day 7, +15%)",True
SOLUSDT,20.2,2023-09-29 00:00:00,22.99,2023-10-09 04:00:00,4.9504950495049505,100.0,13.811881188118807,13.811881188118807,10,"TRAILING_STOP (Day 10, -5% from high)",False
SOLUSDT,22.82,2023-10-16 04:00:00,30.1,2023-10-23 04:00:00,4.382120946538125,100.0,31.901840490797554,31.90184049079755,7,"TP1 (Day 7, +15%)",True
SOLUSDT,22.82,2023-10-16 04:00:00,29.71,2023-10-23 08:00:00,4.382120946538125,100.0,30.192813321647684,30.192813321647677,7,"TP2 (Day 7, +30%)",False
DOGEUSDT,0.06072,2023-10-22 04:00:00,0.07021,2023-10-31 08:00:00,3293.8076416337285,200.0,31.258234519104054,15.629117259552029,9,"TP1 (Day 9, +15%)",True
DOGEUSDT,0.06072,2023-10-22 04:00:00,0.06722,2023-10-31 12:00:00,3293.8076416337285,200.0,21.40974967061923,10.704874835309615,9,"TRAILING_STOP (Day 9, -5% from high)",False
SOLUSDT,39.28,2023-11-01 08:00:00,47.13,2023-11-09 08:00:00,2.545824847250509,100.0,19.9847250509165,19.9847250509165,8,"TP1 (Day 8, +15%)",True
SOLUSDT,39.28,2023-11-01 08:00:00,44.42,2023-11-09 16:00:00,2.545824847250509,100.0,13.085539714867618,13.08553971486762,8,"TRAILING_STOP (Day 8, -5% from high)",False
DOGEUSDT,0.06943,2023-11-02 08:00:00,0.08009,2023-11-11 12:00:00,2880.599164626242,200.0,30.707187094915707,15.353593547457853,9,"TP1 (Day 9, +15%)",True
DOGEUSDT,0.06943,2023-11-02 08:00:00,0.07456,2023-11-13 20:00:00,2880.599164626242,200.0,14.777473714532608,7.388736857266305,11,"TRAILING_STOP (Day 11, -5% from high)",False
SHIBUSDT,2.862e-05,2023-11-17 04:00:00,2.385e-05,2023-11-22 20:00:00,13976240.391334731,400.0,-66.66666666666667,-16.666666666666664,5,"STOP_LOSS_EARLY (Day 5, -8%)",False
SHIBUSDT,2.755e-05,2023-12-01 04:00:00,2.489e-05,2023-12-05 08:00:00,14519056.261343013,400.0,-38.62068965517239,-9.655172413793098,4,"STOP_LOSS_EARLY (Day 4, -8%)",False
DOGEUSDT,0.08617,2023-12-02 20:00:00,0.10023,2023-12-10 00:00:00,2320.9933851688525,200.0,32.63316699547407,16.316583497737035,7,"TP1 (Day 7, +15%)",True
DOGEUSDT,0.08617,2023-12-02 20:00:00,0.09836,2023-12-10 08:00:00,2320.9933851688525,200.0,28.292909365208327,14.146454682604162,7,"TRAILING_STOP (Day 7, -5% from high)",False
SOLUSDT,63.36,2023-12-06 04:00:00,73.53,2023-12-14 08:00:00,1.5782828282828283,100.0,16.051136363636367,16.051136363636367,8,"TP1 (Day 8, +15%)",True
SOLUSDT,63.36,2023-12-06 04:00:00,71.65,2023-12-14 12:00:00,1.5782828282828283,100.0,13.083964646464656,13.083964646464658,8,"TRAILING_STOP (Day 8, -5% from high)",False
SHIBUSDT,2.612e-05,2024-01-01 00:00:00,2.395e-05,2024-01-03 08:00:00,15313935.681470137,400.0,-33.231240428790215,-8.307810107197554,2,"STOP_LOSS_EARLY (Day 2, -8%)",False
DOGEUSDT,0.09309,2024-01-02 00:00:00,0.08244,2024-01-03 12:00:00,4296.916962079707,400.0,-45.762165646148915,-11.440541411537227,1,"STOP_LOSS_EARLY (Day 1, -8%)",False
